CPU Usage: 4.6%
Memory Usage: 70.8%
MeuModulo(
   (layer1): Linear(input_dim=50, output_dim=100, bias=True)
   (sigmoid1): Sigmoid()
   (layer2): Linear(input_dim=100, output_dim=2, bias=True)
   (sigmoid2): Sigmoid()
)
1.28607177734375
         847289 function calls (839027 primitive calls) in 2.505 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    25098    0.003    0.000    0.003    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.003    0.003 _version.py:7(<module>)
        1    0.000    0.000    0.003    0.003 datetime.py:1(<module>)
       60    0.000    0.000    0.003    0.000 activation.py:19(forward)
       14    0.001    0.000    0.003    0.000 enum.py:157(__new__)
     5200    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
        2    0.000    0.000    0.003    0.001 function_base.py:1(<module>)
      544    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      197    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:147(__enter__)
        1    0.000    0.000    0.003    0.003 hmac.py:1(<module>)
     1740    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
        1    0.000    0.000    0.003    0.003 getlimits.py:158(_register_known_types)
       17    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:746(create_module)
        1    0.000    0.000    0.003    0.003 defchararray.py:1(<module>)
       17    0.003    0.000    0.003    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.003    0.003 _compat.py:5(<module>)
     4620    0.003    0.000    0.003    0.000 functions.py:49(__init__)
     4530    0.002    0.000    0.002    0.000 functions.py:33(__init__)
      234    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
      258    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
        6    0.000    0.000    0.002    0.000 getlimits.py:34(__init__)
        1    0.000    0.000    0.002    0.002 scimath.py:1(<module>)
       10    0.000    0.000    0.002    0.000 extras.py:234(__init__)
       10    0.000    0.000    0.002    0.000 extras.py:238(getdoc)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
      544    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
       60    0.000    0.000    0.002    0.000 linear.py:12(forward)
      167    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
        1    0.000    0.000    0.002    0.002 _pslinux.py:1667(Process)
        1    0.000    0.000    0.002    0.002 dis.py:1(<module>)
        1    0.000    0.000    0.002    0.002 ntpath.py:2(<module>)
      810    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x902780}
       37    0.000    0.000    0.002    0.000 abc.py:84(__new__)
      386    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
      544    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
       36    0.000    0.000    0.002    0.000 getlimits.py:111(_float_to_str)
     3660    0.002    0.000    0.002    0.000 functions.py:101(__init__)
      288    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
        1    0.000    0.000    0.002    0.002 parse.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _ufunc_config.py:1(<module>)
        1    0.000    0.000    0.001    0.001 subprocess.py:10(<module>)
        1    0.000    0.000    0.001    0.001 twodim_base.py:1(<module>)
      144    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1075(path_stats)
     2316    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
        1    0.000    0.000    0.001    0.001 tensor.py:15(Tensor)
       50    0.000    0.000    0.001    0.000 core.py:131(get_object_signature)
        2    0.000    0.000    0.001    0.001 __init__.py:339(__init__)
       58    0.001    0.000    0.001    0.000 sre_compile.py:276(_optimize_charset)
        2    0.001    0.001    0.001    0.001 {built-in method _ctypes.dlopen}
     2334    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
       60    0.000    0.000    0.001    0.000 tensor.py:235(__radd__)
      317    0.000    0.000    0.001    0.000 function_base.py:469(_add_docstring)
      167    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
        1    0.000    0.000    0.001    0.001 type_check.py:1(<module>)
     5304    0.001    0.000    0.001    0.000 {method 'random' of '_random.Random' objects}
     1802    0.001    0.000    0.001    0.000 {built-in method math.log}
        7    0.000    0.000    0.001    0.000 enum.py:500(<listcomp>)
     5966    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.001    0.001 _pocketfft.py:1(<module>)
5490/5366    0.001    0.000    0.001    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.001    0.001 _type_aliases.py:1(<module>)
       18    0.000    0.000    0.001    0.000 arrayprint.py:1571(_array_str_implementation)
        1    0.000    0.000    0.001    0.001 _add_newdocs_scalars.py:1(<module>)
        2    0.000    0.000    0.001    0.001 utils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 sgd.py:5(__init__)
       18    0.000    0.000    0.001    0.000 arrayprint.py:506(wrapper)
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1317(_path_hooks)
      197    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1549(_fill_cache)
        1    0.000    0.000    0.001    0.001 optimizer.py:9(__init__)
     13/5    0.000    0.000    0.001    0.000 module.py:35(parameters)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
       18    0.001    0.000    0.001    0.000 arrayprint.py:1564(_guarded_repr_or_str)
       26    0.000    0.000    0.001    0.000 core.py:6832(__init__)
     1867    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       26    0.000    0.000    0.001    0.000 core.py:6837(getdoc)
     2241    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
       52    0.000    0.000    0.001    0.000 core.py:894(__init__)
      304    0.000    0.000    0.001    0.000 {built-in method builtins.max}
       31    0.000    0.000    0.001    0.000 sre_compile.py:536(_compile_info)
      192    0.000    0.000    0.001    0.000 enum.py:75(__setitem__)
       22    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.001    0.001 pickle.py:197(<listcomp>)
        1    0.000    0.000    0.001    0.001 linear.py:1(<module>)
        1    0.000    0.000    0.001    0.001 nanfunctions.py:1(<module>)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
      144    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
     1950    0.001    0.000    0.001    0.000 functions.py:11(__init__)
        1    0.000    0.000    0.001    0.001 opcode.py:2(<module>)
       30    0.000    0.000    0.001    0.000 loss.py:13(__call__)
      568    0.000    0.000    0.001    0.000 <string>:1(__new__)
      107    0.000    0.000    0.001    0.000 re.py:188(match)
       30    0.000    0.000    0.001    0.000 loss.py:21(forward)
     3600    0.001    0.000    0.001    0.000 functions.py:7(backward)
      432    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
      144    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
      156    0.000    0.000    0.001    0.000 module.py:100(__setattr__)
      196    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      618    0.000    0.000    0.001    0.000 _inspect.py:13(ismethod)
      317    0.000    0.000    0.001    0.000 function_base.py:451(_needs_add_docstring)
       14    0.000    0.000    0.001    0.000 re.py:223(split)
        1    0.000    0.000    0.001    0.001 _psposix.py:5(<module>)
     3770    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
       46    0.000    0.000    0.001    0.000 _inspect.py:140(formatargspec)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
      405    0.000    0.000    0.001    0.000 abc.py:96(__instancecheck__)
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
       24    0.000    0.000    0.001    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
       14    0.000    0.000    0.001    0.000 core.py:8222(__init__)
        1    0.000    0.000    0.001    0.001 ctypeslib.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ast.py:1(<module>)
      516    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:389(parent)
     1255    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      757    0.000    0.000    0.001    0.000 sre_parse.py:164(__getitem__)
        1    0.000    0.000    0.001    0.001 arrayprint.py:1(<module>)
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1590(path_hook_for_FileFinder)
       23    0.000    0.000    0.001    0.000 overrides.py:221(decorator)
      196    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
       14    0.000    0.000    0.001    0.000 core.py:8227(getdoc)
       37    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.001    0.001 module.py:1(<module>)
      483    0.000    0.000    0.001    0.000 sre_parse.py:254(get)
   146/59    0.000    0.000    0.001    0.000 sre_parse.py:174(getwidth)
       30    0.000    0.000    0.001    0.000 functions.py:80(backward)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
      618    0.000    0.000    0.001    0.000 _inspect.py:26(isfunction)
      405    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
      548    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:867(__exit__)
      614    0.000    0.000    0.001    0.000 _inspect.py:41(iscode)
        5    0.000    0.000    0.001    0.000 inspect.py:325(getmembers)
      383    0.001    0.000    0.001    0.000 functools.py:64(wraps)
       14    0.000    0.000    0.000    0.000 enum.py:200(<setcomp>)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 contextvars.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
      548    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
        1    0.000    0.000    0.000    0.000 arraysetops.py:1(<module>)
      984    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:1595(cpu_times)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:362(_get_scalar_type_map)
        1    0.000    0.000    0.000    0.000 hashlib.py:5(<module>)
        3    0.000    0.000    0.000    0.000 warnings.py:130(filterwarnings)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:373(<dictcomp>)
     2162    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      621    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
      576    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
      314    0.000    0.000    0.000    0.000 {method 'replace' of 'code' objects}
      285    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      194    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
       26    0.000    0.000    0.000    0.000 core.py:921(__init__)
   129/29    0.000    0.000    0.000    0.000 abc.py:100(__subclasscheck__)
       50    0.000    0.000    0.000    0.000 _internal.py:869(_ufunc_doc_signature_formatter)
       18    0.000    0.000    0.000    0.000 core.py:997(__init__)
   129/29    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       14    0.000    0.000    0.000    0.000 hashlib.py:123(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 numbers.py:4(<module>)
        4    0.000    0.000    0.000    0.000 textwrap.py:414(dedent)
        1    0.000    0.000    0.000    0.000 lzma.py:1(<module>)
     1288    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 parameter.py:1(<module>)
        1    0.000    0.000    0.000    0.000 contextlib.py:72(inner)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1459(__init__)
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
      238    0.000    0.000    0.000    0.000 enum.py:417(__setattr__)
     1288    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        3    0.000    0.000    0.000    0.000 _pslinux.py:584(cpu_times)
       31    0.000    0.000    0.000    0.000 enum.py:938(__and__)
     1107    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        8    0.000    0.000    0.000    0.000 hashlib.py:79(__get_builtin_constructor)
       22    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
       12    0.000    0.000    0.000    0.000 datetime.py:488(__new__)
        1    0.000    0.000    0.000    0.000 ufunclike.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x7f2796f03c10}
        1    0.000    0.000    0.000    0.000 glob.py:1(<module>)
      341    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       36    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
      465    0.000    0.000    0.000    0.000 functions.py:67(__init__)
      144    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:516(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 sgd.py:1(<module>)
       36    0.000    0.000    0.000    0.000 getlimits.py:16(_fr0)
      118    0.000    0.000    0.000    0.000 {built-in method numpy.array}
      189    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
        1    0.000    0.000    0.000    0.000 __init__.py:1920(virtual_memory)
        4    0.000    0.000    0.000    0.000 re.py:203(sub)
      422    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       14    0.000    0.000    0.000    0.000 enum.py:143(__prepare__)
        6    0.000    0.000    0.000    0.000 numeric.py:2536(extend_all)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
        1    0.000    0.000    0.000    0.000 _pslinux.py:406(virtual_memory)
       28    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
       14    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
      196    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
      928    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 arraypad.py:1(<module>)
      379    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
      177    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
      342    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
      314    0.000    0.000    0.000    0.000 overrides.py:128(array_function_dispatch)
        1    0.000    0.000    0.000    0.000 _globals.py:1(<module>)
        5    0.000    0.000    0.000    0.000 _common.py:423(wrapper)
       58    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.000    0.000 core.py:6527(__new__)
      378    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
        3    0.000    0.000    0.000    0.000 tokenize.py:83(_all_string_prefixes)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
      103    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       51    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       30    0.000    0.000    0.000    0.000 tensor.py:525(sum)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
      146    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       16    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
       10    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
      297    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
        1    0.000    0.000    0.000    0.000 _polybase.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _pslinux.py:259(set_scputimes_ntuple)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:58(bitname)
        1    0.000    0.000    0.000    0.000 functions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 laguerre.py:1(<module>)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
      581    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       34    0.000    0.000    0.000    0.000 _pslinux.py:1646(wrap_exceptions)
        3    0.000    0.000    0.000    0.000 ufunclike.py:58(_fix_and_maybe_deprecate_out_named_y)
        6    0.000    0.000    0.000    0.000 module.py:13(__init__)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:1(<module>)
       53    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
       37    0.000    0.000    0.000    0.000 enum.py:532(_get_mixins_)
       30    0.000    0.000    0.000    0.000 optimizer.py:20(zero_grad)
        3    0.000    0.000    0.000    0.000 ufunclike.py:41(_fix_out_named_y)
      377    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
        6    0.000    0.000    0.000    0.000 _common.py:764(open_binary)
     1603    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
       14    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      376    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
      291    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
        1    0.000    0.000    0.000    0.000 hermite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
       14    0.000    0.000    0.000    0.000 enum.py:579(_find_new_)
        1    0.000    0.000    0.000    0.000 mixins.py:59(NDArrayOperatorsMixin)
      240    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
       58    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
        6    0.000    0.000    0.000    0.000 {built-in method io.open}
      396    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      178    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
